x2,y2,r_mag,ax2,ay2
331363590.65223974,198544214.25227487,384399999.99969,-0.002311982760411793,-0.0013896243481423542
330094499.84510577,201778517.0478006,384399999.9996715,-0.00230319220396491,-0.0014041459203883722
325818595.11717343,204508672.58982313,384399999.9996616,-0.0022943104426587924,-0.0014186118895176958
328791516.3283374,206931350.35832465,384399999.999648,-0.002285337826048159,-0.0014330216812597774
324254998.17932713,206287169.81557068,384399999.9996223,-0.00227627470312175,-0.001447374720870781
319744211.2114253,209174763.361401,384399999.9996039,-0.0022671214364953507,-0.0014616704423924265
322192199.9235908,211107356.45133373,384399999.99959683,-0.002257878394679169,-0.0014759082837301762
320591282.53132033,213906568.77410072,384399999.9995726,-0.002248545937996435,-0.001490087677170876
320186202.0934579,213960697.93227553,384399999.99954504,-0.002239124431250475,-0.0015042080579370787
318394352.5838054,215897975.90262017,384399999.99952626,-0.002229614254275439,-0.0015182688715175696
320385180.19247913,216827488.6148324,384399999.9995191,-0.0022200157874861653,-0.0015322695637829675
317529941.7862444,220700783.61753327,384399999.99948674,-0.002210329403508196,-0.001546209574929458
312876679.64290327,225754692.72927505,384399999.9994566,-0.002200555482926081,-0.0015600883507495278
309007486.4174989,224844645.2304432,384399999.99943674,-0.002190694420859035,-0.001573905347535487
312453556.45017874,229999908.33788478,384399999.9994277,-0.0021807466101649298,-0.0015876600198862223
311975926.4652482,229578280.7564061,384399999.9993894,-0.002170712436433131,-0.0016013518167899976
307172392.20592755,232671793.86727595,384399999.9993555,-0.0021605922949255174,-0.001614980194434068
306921385.9502945,231354403.27982444,384399999.99933314,-0.0021503865949842327,-0.0016285446197464304
301689605.9749157,237647141.81335056,384399999.9993232,-0.002140095743032311,-0.0016420445573673004
304750204.3455267,236057281.71218607,384399999.9992796,-0.002129720137738017,-0.0016554794656260252
303412080.79207313,241426452.96946397,384399999.9992404,-0.0021192601874231443,-0.0016688488104193155
302194531.94655496,241532757.318222,384399999.99921346,-0.0021087163150209087,-0.0016821520693963699
298792924.0942224,244169203.11301276,384399999.99920374,-0.0020980889417321347,-0.0016953887187948768
298378176.4347452,244600778.63656616,384399999.99915695,-0.0020873784795328587,-0.001708558226974688
299499364.75198805,242772550.75217438,384399999.99911,-0.0020765853480282648,-0.001721660068549291
297848118.1927841,250857513.95631358,384399999.9990763,-0.002065709982910169,-0.0017346937317603839
297908669.4577986,249825357.32084367,384399999.99906296,-0.00205475282090542,-0.0017476587057756454
291177335.8768617,254108281.81733784,384399999.999021,-0.002043714288467502,-0.0017605544705788234
292311190.86481005,258623638.60170996,384399999.998964,-0.002032594815105704,-0.0017733805086585785
286125508.12671924,254351448.52645493,384399999.998921,-0.0020213948475046872,-0.0017861363177989198
